,Date,Time,Temperature,DewPoint,Humidity,Wind,WinSpeed,WindGust,Pressure,Precip.,Condition
124258,2018-05-01,12:53 AM,49,40,71,E,5,0,24.41,0.0,Mostly Cloudy
124271,2018-05-01,1:53 AM,46,42,86,N,5,0,24.41,0.0,Cloudy
124272,2018-05-01,2:53 AM,46,43,89,ESE,7,0,24.42,0.0,Cloudy
124273,2018-05-01,3:53 AM,47,41,80,ESE,10,0,24.43,0.0,Cloudy
124274,2018-05-01,4:53 AM,46,41,83,SE,9,0,24.42,0.0,Cloudy
124275,2018-05-01,5:53 AM,46,41,83,SE,6,0,24.42,0.0,Cloudy
124276,2018-05-01,6:53 AM,46,41,83,S,9,0,24.43,0.0,Cloudy
124283,2018-05-02,12:53 AM,43,37,80,SSW,3,0,24.54,0.0,Cloudy
124284,2018-05-01,7:53 AM,48,41,77,SSE,6,0,24.43,0.0,Cloudy
124285,2018-05-01,8:53 AM,49,40,71,S,7,0,24.43,0.0,Cloudy
124286,2018-05-01,9:53 AM,53,40,61,SSE,5,0,24.42,0.0,Mostly Cloudy
124287,2018-05-01,10:53 AM,59,39,48,SE,10,21,24.39,0.0,Partly Cloudy
124288,2018-05-01,11:53 AM,62,39,43,ESE,16,23,24.37,0.0,Mostly Cloudy
124289,2018-05-01,12:53 PM,65,37,36,SE,17,24,24.34,0.0,Thunder in the Vicinity
124290,2018-05-01,1:53 PM,69,35,29,SSE,15,25,24.34,0.0,Mostly Cloudy
124291,2018-05-01,2:53 PM,64,36,35,N,17,23,24.33,0.0,Mostly Cloudy
124294,2018-05-02,1:53 AM,42,38,85,S,7,0,24.54,0.0,Mostly Cloudy
124295,2018-05-02,2:53 AM,44,38,79,SSW,6,0,24.52,0.0,Cloudy
124296,2018-05-02,3:53 AM,42,38,85,SSW,5,0,24.52,0.0,Mostly Cloudy
124297,2018-05-02,4:53 AM,41,38,89,SSE,6,0,24.51,0.0,Mostly Cloudy
124298,2018-05-02,5:53 AM,42,38,85,SSE,6,0,24.5,0.0,Cloudy
124299,2018-05-02,6:53 AM,44,40,85,S,5,0,24.51,0.0,Cloudy
124300,2018-05-01,3:53 PM,66,37,34,NE,21,28,24.31,0.0,Cloudy / Windy
124301,2018-05-01,4:53 PM,62,43,50,N,21,0,24.34,0.0,Light Rain / Windy
124302,2018-05-01,5:53 PM,63,40,43,NNE,18,0,24.35,0.0,Mostly Cloudy
124303,2018-05-01,6:53 PM,53,40,61,NNE,24,33,24.4,0.0,Cloudy / Windy
124304,2018-05-01,7:53 PM,49,39,69,NNE,23,32,24.45,0.0,Mostly Cloudy / Windy
124305,2018-05-01,8:53 PM,47,38,71,NE,14,0,24.49,0.0,Mostly Cloudy
124306,2018-05-01,9:53 PM,45,37,74,E,9,0,24.52,0.0,Mostly Cloudy
124307,2018-05-01,10:53 PM,44,37,76,ESE,7,0,24.52,0.0,Cloudy
124308,2018-05-01,11:53 PM,42,38,85,SSE,5,0,24.53,0.0,Mostly Cloudy
124312,2018-05-02,7:53 AM,46,42,86,VAR,3,0,24.52,0.0,Rain
124313,2018-05-02,8:53 AM,49,40,71,CALM,0,0,24.53,0.0,Cloudy
124314,2018-05-02,9:53 AM,47,43,86,NE,9,0,24.53,0.0,Light Rain
124315,2018-05-02,10:53 AM,48,44,86,NE,10,0,24.52,0.0,Cloudy
124316,2018-05-02,11:53 AM,49,44,83,NNE,13,0,24.5,0.0,Light Rain
124317,2018-05-03,12:53 AM,43,41,93,WNW,16,0,24.48,0.0,Fog
124318,2018-05-03,1:53 AM,42,41,96,WNW,15,0,24.45,0.0,Cloudy
124319,2018-05-03,2:53 AM,42,39,89,WNW,15,0,24.45,0.0,Cloudy
124320,2018-05-03,3:53 AM,41,39,93,W,15,0,24.44,0.1,Light Rain
124321,2018-05-03,4:53 AM,41,40,96,W,15,0,24.43,0.1,Light Rain
124322,2018-05-04,12:53 AM,42,38,85,SW,12,0,24.75,0.0,Fair
124323,2018-05-02,12:53 PM,46,44,93,NNE,12,0,24.49,0.2,T-Storm
124324,2018-05-02,1:53 PM,50,46,86,NE,16,0,24.48,0.0,Cloudy
124325,2018-05-02,2:53 PM,50,45,83,NE,17,0,24.47,0.0,Cloudy
124326,2018-05-02,3:53 PM,50,44,80,NE,15,0,24.45,0.0,Cloudy
124327,2018-05-03,5:53 AM,41,40,96,W,20,26,24.43,0.0,Light Rain
124328,2018-05-03,6:53 AM,41,40,96,NW,22,32,24.44,0.1,Light Rain / Windy
124329,2018-05-03,7:53 AM,40,39,97,NNW,28,36,24.46,0.1,Light Rain / Windy
124330,2018-05-03,8:53 AM,41,40,96,NNW,22,32,24.49,0.0,Light Rain / Windy
124331,2018-05-03,9:53 AM,42,39,89,NNW,23,32,24.52,0.0,Light Rain / Windy
124332,2018-05-03,10:53 AM,41,38,89,NW,22,0,24.54,0.0,Light Rain / Windy
124333,2018-05-03,11:53 AM,41,38,89,NNW,21,32,24.56,0.0,Light Rain / Windy
124334,2018-05-04,1:53 AM,42,37,82,SW,12,0,24.77,0.0,Fair
124335,2018-05-04,2:53 AM,41,37,86,SW,12,0,24.77,0.0,Partly Cloudy
124336,2018-05-04,3:53 AM,42,38,85,SW,10,0,24.79,0.0,Mostly Cloudy
124337,2018-05-04,4:53 AM,41,37,86,SW,10,0,24.79,0.0,Mostly Cloudy
124338,2018-05-04,5:53 AM,41,36,82,SW,10,0,24.79,0.0,Fair
124339,2018-05-04,6:53 AM,43,36,76,SW,12,0,24.81,0.0,Fair
124340,2018-05-04,7:53 AM,48,38,68,SW,9,0,24.83,0.0,Fair
124341,2018-05-04,8:53 AM,53,39,59,WSW,8,0,24.84,0.0,Fair
124342,2018-05-04,9:53 AM,58,38,47,WNW,7,0,24.84,0.0,Fair
124343,2018-05-04,10:53 AM,59,34,39,WNW,6,0,24.84,0.0,Fair
124344,2018-05-04,11:53 AM,62,33,34,N,7,0,24.84,0.0,Fair
124345,2018-05-04,12:53 PM,63,32,31,WNW,10,0,24.82,0.0,Fair
124346,2018-05-02,4:53 PM,49,43,80,NE,13,0,24.45,0.0,Cloudy
124347,2018-05-02,5:53 PM,49,44,83,NE,10,0,24.46,0.0,Light Rain
124348,2018-05-02,6:53 PM,49,45,86,NE,7,0,24.47,0.1,Cloudy
124349,2018-05-03,12:53 PM,44,40,85,NNW,15,0,24.58,0.0,Light Rain
124350,2018-05-03,1:53 PM,44,40,85,WNW,10,0,24.61,0.0,Light Rain
124351,2018-05-03,2:53 PM,47,42,83,WNW,10,0,24.61,0.0,Light Rain
124352,2018-05-03,3:53 PM,47,43,86,WNW,17,23,24.62,0.0,Cloudy
124353,2018-05-05,12:53 AM,51,31,46,SW,13,0,24.77,0.0,Fair
124354,2018-05-04,1:53 PM,65,33,31,NW,9,0,24.81,0.0,Fair
124355,2018-05-04,2:53 PM,66,32,28,NE,7,0,24.79,0.0,Fair
124356,2018-05-04,3:53 PM,67,33,28,NNE,6,0,24.78,0.0,Fair
124357,2018-05-04,4:53 PM,68,32,26,NNE,9,0,24.78,0.0,Fair
124358,2018-05-04,5:53 PM,67,33,28,ENE,8,0,24.77,0.0,Fair
124359,2018-05-04,6:53 PM,65,35,33,ESE,6,0,24.76,0.0,Fair
124360,2018-05-04,7:53 PM,56,40,55,SE,8,0,24.76,0.0,Fair
124361,2018-05-04,8:53 PM,53,39,59,S,13,0,24.77,0.0,Partly Cloudy
124362,2018-05-04,9:53 PM,52,35,53,S,15,0,24.78,0.0,Fair
