Neighborhood,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
auraria,2017,31,38,43,30,59,74,69,66,60,50,35,22
auraria,2018,36,54,40,52,52,68,73,76,75,63,55,30
auraria,2019,27,45,51,54,59,54,79,73,75,56,45,36
auraria,2020,44,47,44,22,28,22,29,53,50,34,29,14
auraria,2021,32,30,39,43,40,58,68,56,93,83,36,38
auraria,2022,52,49,54,52,63,55,68,42,1,0,0,0
union-station,2017,146,158,155,164,149,143,152,160,172,118,121,134
union-station,2018,122,99,160,136,172,148,161,144,112,159,113,141
union-station,2019,139,153,190,161,209,217,214,245,236,189,187,175
union-station,2020,181,219,192,208,137,136,137,122,178,166,127,171
union-station,2021,183,180,184,191,264,264,224,217,166,265,248,365
union-station,2022,390,380,336,257,245,247,235,258,8,0,0,0
goldsmith,2017,56,37,43,44,56,48,31,64,58,62,36,42
goldsmith,2018,48,46,25,27,48,41,50,31,47,38,51,36
goldsmith,2019,35,41,44,40,48,47,39,43,43,34,39,31
goldsmith,2020,41,26,31,45,56,31,44,43,50,72,70,76
goldsmith,2021,66,51,89,49,75,60,63,76,57,87,70,80
goldsmith,2022,90,60,63,69,57,80,60,60,2,0,0,0
sunnyside,2017,66,61,54,66,62,60,70,68,91,51,55,67
sunnyside,2018,82,60,68,71,88,77,73,73,81,74,42,47
sunnyside,2019,55,54,56,51,55,60,50,66,62,70,61,56
sunnyside,2020,56,37,49,54,74,76,78,65,50,61,69,63
sunnyside,2021,62,75,72,78,67,77,69,70,57,61,78,68
sunnyside,2022,72,69,61,73,93,87,101,91,1,0,0,0
cherry-creek,2017,46,61,54,48,49,51,43,68,52,59,63,73
cherry-creek,2018,48,44,60,51,52,43,63,52,45,53,32,56
cherry-creek,2019,53,55,65,60,55,69,75,55,63,64,71,59
cherry-creek,2020,74,48,44,50,46,46,62,56,63,56,70,69
cherry-creek,2021,63,44,61,43,68,70,68,68,58,65,50,70
cherry-creek,2022,67,67,69,64,77,80,80,87,1,0,0,0
southmoor-park,2017,31,29,31,29,32,17,32,18,24,25,23,17
southmoor-park,2018,38,19,14,27,23,20,17,15,33,26,39,32
southmoor-park,2019,19,11,28,26,23,19,31,41,26,24,36,32
southmoor-park,2020,25,25,20,45,33,40,20,46,34,30,42,45
southmoor-park,2021,52,29,28,47,34,36,41,39,32,32,24,36
southmoor-park,2022,30,43,52,52,44,48,27,34,2,0,0,0
barnum,2017,49,44,44,55,53,71,55,58,64,65,55,54
barnum,2018,60,30,38,50,56,56,51,63,62,37,38,36
barnum,2019,57,51,39,29,44,52,58,50,49,45,39,30
barnum,2020,42,30,41,43,46,52,56,41,60,52,55,38
barnum,2021,50,40,48,46,53,55,40,58,33,58,34,36
barnum,2022,36,41,42,47,71,43,57,57,2,0,0,0
speer,2017,53,66,86,75,63,86,102,86,90,57,80,77
speer,2018,79,52,68,97,108,72,92,95,82,78,77,67
speer,2019,69,58,55,58,56,84,94,86,86,95,79,62
speer,2020,68,71,74,79,84,102,125,93,96,109,96,118
speer,2021,118,82,85,110,125,123,133,116,128,113,88,106
speer,2022,121,78,98,116,106,125,147,115,2,0,0,0
whittier,2017,26,31,45,43,29,28,38,30,41,23,62,24
whittier,2018,32,19,33,32,39,28,27,29,35,32,17,18
whittier,2019,30,25,18,33,36,45,36,23,45,31,34,37
whittier,2020,30,26,27,32,52,41,34,42,28,45,40,46
whittier,2021,41,36,32,31,39,42,42,55,37,35,39,28
whittier,2022,43,35,40,44,53,35,44,45,2,0,0,0
barnum-west,2017,34,37,39,31,28,48,34,34,38,33,25,40
barnum-west,2018,45,26,30,49,46,26,33,37,22,39,34,30
barnum-west,2019,28,37,23,33,26,40,29,20,20,31,20,20
barnum-west,2020,43,16,20,19,35,30,30,33,18,30,27,33
barnum-west,2021,44,30,24,24,47,43,46,36,26,27,30,27
barnum-west,2022,27,30,37,35,35,21,43,36,1,0,0,0
university-park,2017,29,23,38,31,32,33,29,37,41,38,26,26
university-park,2018,32,38,28,46,49,41,45,43,47,51,43,34
university-park,2019,39,26,34,36,31,37,31,37,37,37,43,35
university-park,2020,29,19,31,35,51,48,43,46,76,61,64,38
university-park,2021,47,68,54,43,41,53,57,60,65,63,60,66
university-park,2022,73,41,55,66,76,57,61,74,5,0,0,0
jefferson-park,2017,20,29,35,25,25,42,43,46,34,44,41,50
jefferson-park,2018,48,38,42,59,48,47,40,46,31,38,29,22
jefferson-park,2019,36,34,45,39,44,40,44,41,40,21,33,35
jefferson-park,2020,26,24,41,50,35,33,36,54,38,54,40,39
jefferson-park,2021,51,54,54,49,47,60,56,75,41,38,46,59
jefferson-park,2022,36,41,51,41,58,56,56,46,1,0,0,0
overland,2017,34,35,44,52,35,42,41,49,27,40,37,26
overland,2018,39,22,43,38,58,40,44,55,54,60,31,39
overland,2019,44,33,34,32,45,48,52,54,38,40,55,45
overland,2020,42,43,43,48,61,54,70,62,66,68,68,71
overland,2021,71,41,42,48,38,48,53,44,62,53,43,46
overland,2022,46,55,57,62,54,49,43,50,2,0,0,0
wellshire,2017,5,9,10,5,4,4,7,9,9,4,10,8
wellshire,2018,7,4,4,4,6,0,9,6,16,4,6,12
wellshire,2019,3,2,8,5,5,4,3,9,5,5,7,10
wellshire,2020,3,6,5,9,7,6,4,4,7,5,5,5
wellshire,2021,7,5,3,3,10,6,3,5,4,11,4,6
wellshire,2022,9,3,6,5,8,6,3,2,0,0,0,0
windsor,2017,37,51,60,29,35,43,42,53,44,42,41,42
windsor,2018,45,35,57,22,53,40,48,61,60,36,38,42
windsor,2019,29,55,39,51,53,49,41,51,32,34,58,43
windsor,2020,44,54,35,55,54,74,74,68,87,58,72,66
windsor,2021,97,56,79,72,102,80,79,70,74,79,75,80
windsor,2022,85,71,86,80,69,82,80,75,3,0,0,0
city-park,2017,24,24,37,21,26,24,23,30,33,25,34,16
city-park,2018,37,23,24,28,45,23,32,27,37,25,21,29
city-park,2019,18,21,34,40,38,32,30,30,23,29,30,30
city-park,2020,28,27,35,22,32,29,30,37,21,28,20,30
city-park,2021,27,27,23,31,29,29,33,45,27,39,36,20
city-park,2022,29,17,30,38,41,36,47,38,0,0,0,0
berkeley,2017,29,42,57,66,60,49,35,67,56,61,43,60
berkeley,2018,49,58,39,42,43,39,33,66,60,46,42,53
berkeley,2019,38,41,43,43,38,34,37,48,45,34,50,44
berkeley,2020,54,46,47,45,44,66,60,49,48,48,61,58
berkeley,2021,50,52,42,57,56,63,73,55,52,44,51,55
berkeley,2022,58,51,62,51,62,55,67,52,2,0,0,0
south-park-hill,2017,42,32,30,47,36,40,22,44,41,35,46,29
south-park-hill,2018,33,26,18,38,38,36,45,50,34,55,39,22
south-park-hill,2019,24,32,19,21,37,40,41,41,33,25,32,26
south-park-hill,2020,28,23,33,38,42,42,54,44,33,37,44,54
south-park-hill,2021,54,41,54,46,40,44,56,76,56,36,34,35
south-park-hill,2022,54,55,49,46,48,44,54,40,0,0,0,0
north-capitol-hill,2017,89,90,110,105,129,151,92,126,115,104,96,93
north-capitol-hill,2018,106,85,93,104,108,113,116,122,116,99,93,92
north-capitol-hill,2019,92,90,93,107,114,138,136,117,114,124,93,132
north-capitol-hill,2020,118,106,118,107,145,166,159,126,126,123,92,113
north-capitol-hill,2021,110,100,105,131,110,156,127,133,97,114,98,91
north-capitol-hill,2022,90,90,112,139,139,130,172,163,1,0,0,0
washington-park-west,2017,31,26,23,25,48,34,37,23,27,38,20,27
washington-park-west,2018,28,25,27,30,38,36,30,37,30,25,24,18
washington-park-west,2019,29,27,22,18,28,39,30,37,36,41,23,24
